detector,base_trial,incident_start,incident_end,cad_win,event_success,category
coh_resid_t2,21,2024-01-01,2024-06-01,0.3333333333333333,1,changed_with_warning_overlap
coh_resid_t2,22,2023-04-01,2023-09-01,0.5,1,changed_with_warning_overlap
coh_resid_t2,23,2020-01-01,2020-06-01,0.0,1,no_alert_stream_change
coh_resid_t2,24,2021-12-01,2022-05-01,1.0,1,changed_with_warning_overlap
coh_resid_t2,25,2024-03-01,2024-08-01,0.3333333333333333,1,changed_with_warning_overlap
coh_resid_t2,26,2022-09-01,2023-02-01,0.0,1,no_alert_stream_change
coh_resid_t2,27,2020-02-01,2020-07-01,0.0,1,no_alert_stream_change
coh_resid_t2,28,2023-10-01,2024-03-01,0.6666666666666666,1,changed_with_warning_overlap
coh_resid_t2,29,2023-08-01,2024-01-01,0.3333333333333333,1,changed_with_warning_overlap
coh_resid_t2,30,2024-02-01,2024-07-01,0.3333333333333333,1,changed_with_warning_overlap
coh_resid_t2,31,2020-11-01,2021-04-01,0.6666666666666666,1,changed_with_warning_overlap
coh_resid_t2,32,2020-06-01,2020-11-01,0.0,1,no_alert_stream_change
coh_resid_t2,33,2024-03-01,2024-08-01,0.3333333333333333,1,changed_with_warning_overlap
coh_resid_t2,34,2020-02-01,2020-07-01,0.0,1,no_alert_stream_change
coh_resid_t2,35,2022-08-01,2023-01-01,0.3333333333333333,1,changed_with_warning_overlap
coh_resid_t2,36,2020-05-01,2020-10-01,0.0,1,no_alert_stream_change
coh_resid_t2,37,2021-06-01,2021-11-01,0.5,1,changed_with_warning_overlap
coh_resid_t2,38,2022-05-01,2022-10-01,1.0,1,changed_with_warning_overlap
coh_resid_t2,39,2022-01-01,2022-06-01,1.0,1,changed_with_warning_overlap
coh_resid_t2,40,2021-12-01,2022-05-01,1.0,1,changed_with_warning_overlap
coh_resid_t2,41,2020-02-01,2020-07-01,0.0,1,no_alert_stream_change
coh_resid_t2,42,2020-01-01,2020-06-01,0.0,1,no_alert_stream_change
coh_resid_t2,43,2020-08-01,2021-01-01,0.16666666666666666,1,changed_with_warning_overlap
