panel,detector,budget,duration_months,tiw_eval,p_overlap_warning_uniform,tiw_in_window_uniform,p_overlap_indep,p_overlap_minus_indep,cad_win_zero,dtiw_win_zero,dfae_win_zero
full,fused_sp,2.0,6,0.453125,0.9491525423728814,0.45762711864406785,0.9732497144577792,-0.02409717208489781,0.0,0.0,0.0
full,fused_fisher,2.0,6,0.546875,0.9830508474576272,0.576271186440678,0.9913441814569524,-0.008293333999325192,0.0,0.0,0.0
full,fused_sp_lrt_delta,2.0,6,0.453125,0.9661016949152542,0.45762711864406785,0.9732497144577792,-0.007148019542524975,0.0,0.0,0.0
full,fused_fisher_lrt_delta,2.0,6,0.53125,1.0,0.5423728813559322,0.9893916537985206,0.010608346201479435,0.0,0.0,0.0
full,ewma_factor_cov_lrt,2.0,6,0.328125,0.711864406779661,0.3559322033898305,0.9080120607832214,-0.19614765400356038,0.0,0.0,0.0
full,cusum_factor_cov_lrt,2.0,6,0.375,0.7966101694915254,0.403954802259887,0.9403953552246094,-0.14378518573308396,0.0,0.0,0.0
score_only,max_abs,0.25,6,0.1875,0.5254237288135594,0.1864406779661017,0.7122997641563416,-0.1868760353427822,0.0,0.0,0.0
score_only,T2,0.25,6,0.171875,0.5084745762711864,0.1694915254237288,0.6774660957598826,-0.16899151948869617,0.0,0.0,0.0
score_only,res_energy,0.25,6,0.203125,0.5423728813559322,0.2033898305084746,0.7439403115859022,-0.20156743022997003,0.0,0.0,0.0
score_only,pc_t2,0.25,6,0.140625,0.423728813559322,0.12429378531073446,0.5971936641581124,-0.17346485059879035,0.0,0.0,0.0
score_only,stale,0.25,6,0.046875,0.22033898305084745,0.050847457627118633,0.250279879765003,-0.029940896714155535,0.0,0.0,0.0
score_only,factor_cov_change,0.25,6,0.296875,0.6779661016949152,0.3050847457627119,0.8791643065487733,-0.2011982048538581,0.0,0.0,0.0
score_only,factor_cov_delta,0.25,6,0.1875,0.3220338983050847,0.1864406779661017,0.7122997641563416,-0.39026586585125683,0.0,0.0,0.0
score_only,factor_cov_lrt,0.25,6,0.125,0.2711864406779661,0.1271186440677966,0.5512046813964844,-0.2800182407185183,0.0,0.0,0.0
score_only,factor_cov_lrt_delta,0.25,6,0.03125,0.15254237288135594,0.025423728813559324,0.17344778683036566,-0.020905413949009716,0.0,0.0,0.0
score_only,fused_sp,0.25,6,0.125,0.4745762711864407,0.12146892655367231,0.5512046813964844,-0.07662841021004368,0.0,0.0,0.0
score_only,fused_fisher,0.25,6,0.15625,0.5254237288135594,0.15254237288135591,0.6391865527257323,-0.11376282391217296,0.0,0.0,0.0
score_only,fused_sp_lrt_delta,0.25,6,0.0625,0.288135593220339,0.05367231638418079,0.32106584310531616,-0.03293024988497717,0.0,0.0,0.0
score_only,fused_fisher_lrt_delta,0.25,6,0.015625,0.01694915254237288,0.002824858757062147,0.0901632960740244,-0.07321414353165152,0.0,0.0,0.0
score_only,ewma_factor_cov_lrt,0.25,6,0.15625,0.3050847457627119,0.16101694915254236,0.6391865527257323,-0.33410180696302044,0.0,0.0,0.0
score_only,cusum_factor_cov_lrt,0.25,6,0.453125,0.9152542372881356,0.4745762711864407,0.9732497144577792,-0.057995477169643594,0.0,0.0,0.0
score_only,coh_resid_t2,0.25,6,0.171875,0.4406779661016949,0.14406779661016947,0.6774660957598826,-0.23678812965818768,0.0,0.0,0.0
